,total_case_count,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Banda, UP",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,7.14,4.76,4.76,4.76,4.76,4.76,4.76,4.76,3.57,3.57,3.57,12.14,12.14,12.14,12.14
"Bara Banki, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bareilly, UP",10.0,,,,,,,,,,,,,,,,,,,,,,71.43,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,4.42,4.42,4.42,7.99,7.99,5.61
"Basti, UP",31.0,,,,,,,,,,,,,,,,,,,,,,,,,39.29,25.0,12.76,12.76,12.76,21.68,10.97,13.17,13.17,11.13,11.13,13.98,5.05,5.85,3.65,3.65,5.91,5.91,3.05,3.05,2.26,2.26,2.26,1.3,5.47,5.47,5.47
"Sant Ravidas Nagar (Bhadohi), UP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29
"Bijnor, UP",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,114.29,114.29,120.63,120.63,130.53,130.53,133.12,18.84,18.84,13.04,13.04,3.15,3.15,1.08,1.59,2.08,1.53,1.53,2.48,2.48,1.96
"Budaun, UP",16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,28.57,32.14,17.86,26.43,35.36,35.36,35.36,21.07,17.5,17.5,10.03,3.14,3.14,3.14,3.14,3.14,3.14,2.04,0.0
"Bulandshahr, UP",55.0,,,,,,,,,,,,,,,,,,,,,,,28.57,38.1,18.1,18.1,18.1,23.45,23.45,23.45,13.93,6.66,6.66,9.04,4.7,4.7,7.56,9.94,9.32,9.32,10.19,14.99,14.99,16.64,14.26,13.58,13.86,10.62,5.64,5.9,1.39
"Chandauli, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chitrakoot, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deoria, UP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Etah, UP",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.76,22.62,25.79,25.79,25.79
"Etawah, UP",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43,21.43,21.43,21.43,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05
"Faizabad, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farrukhabad, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fatehpur, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Firozabad, UP",158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.88,18.88,24.07,27.88,17.17,21.68,14.66,14.66,20.48,19.04,18.21,18.46,15.4,14.47,16.42,12.13,8.37,8.32,8.07,8.05,7.96,7.68,7.66,8.7,6.84
"Gautam Buddha Nagar, UP",179.0,,,,,,,,,,25.6,21.63,20.76,23.82,25.08,22.44,25.66,24.63,24.31,20.42,17.95,11.83,9.72,6.49,5.74,2.88,3.62,3.26,0.97,0.97,1.89,5.36,5.36,6.36,6.13,6.59,6.59,6.42,3.25,3.39,1.64,2.89,2.55,3.06,4.26,4.08,4.26,4.58,4.65,4.99,5.3,4.37
"Ghaziabad, UP",94.0,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,16.67,16.67,22.38,15.24,17.28,17.28,19.06,11.13,16.84,20.31,20.31,18.27,18.27,17.73,16.14,11.57,2.39,2.39,2.39,2.39,1.67,1.67,1.55,6.79,8.53,8.53,9.15,9.81,9.81,9.07,5.18,3.43,3.93,3.54,2.59,3.28,3.66,5.26,7.35
"Ghazipur, UP",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,2.86,2.86,2.86,5.24,5.24,2.38,2.38,2.38,2.38,2.38,0.0,0.0,0.0
"Gonda, UP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,21.43,21.43,21.43
"Gorakhpur, UP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43
"Hamirpur (Himachal Pradesh), UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hapur, UP",44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.86,42.86,14.29,14.29,21.43,30.95,30.95,17.62,17.62,17.62,18.51,11.37,2.69,2.69,1.73,1.73,7.29,6.97,6.97,6.13,6.13,9.97,10.84,8.96,8.39
"Hardoi, UP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hathras, UP",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,6.43,8.81,8.81
"Jalaun, UP",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.76,15.48
"Jaunpur, UP",8.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,28.57,28.57,28.57,28.57,28.57,28.57,33.33,4.76,4.76,4.76,4.76,4.76,4.76,0.0,3.57,3.57,3.57,3.57,3.57,3.57,3.57,0.0,0.0,0.0,0.0,0.0,8.57,8.57,8.57,8.57,8.57,8.57,8.57
"Jhansi, UP",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.19
"Kannauj, UP",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,8.81,8.81,5.24,2.38,2.38,2.38,2.38,0.0,0.0,0.0,0.0
"Kanpur Dehat, UP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kanpur Nagar, UP",246.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,85.71,85.71,85.71,87.76,87.76,87.76,89.54,3.83,3.83,3.83,1.79,3.37,14.8,16.19,20.74,21.23,21.23,35.51,37.5,27.21,26.68,26.45,28.7,30.72,17.02,14.09,13.11,10.69,7.28,4.89,4.87,4.89
"Kanshiram Nagar, UP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kaushambi, UP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lakhimpur Kheri, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kushinagar, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lalitpur, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucknow, UP",223.0,,,,,21.43,40.48,40.48,40.48,40.48,40.48,26.19,19.05,2.04,2.04,2.04,3.83,3.83,5.41,5.41,3.37,3.37,13.37,15.79,17.09,18.48,18.48,18.48,19.95,9.95,7.54,9.41,16.5,20.69,21.72,27.94,28.12,26.51,23.51,13.53,9.68,8.65,2.54,2.44,2.41,2.61,2.81,2.54,3.1,2.06,2.24,2.09
"Mahoba, UP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahrajganj, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mainpuri, UP",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,3.57,3.57,3.57,3.57,3.57,3.57,3.57,0.0,5.71,5.71,5.71
"Mathura, UP",30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,11.9,11.9,11.9,11.9,11.9,4.76,3.57,3.57,6.43,6.43,8.81,10.85,12.64,9.06,12.24,10.68,10.68,8.3,16.97,18.59,20.79
"Mau, UP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meerut, UP",139.0,,,,,,,,,,,,,,,,,,,,,44.32,48.89,8.89,8.89,9.76,10.23,8.92,10.22,6.54,7.94,9.21,9.28,8.94,6.68,5.59,5.52,4.31,4.18,3.41,3.06,3.23,3.52,2.7,2.99,2.16,2.44,2.65,2.9,3.49,3.62,6.27
"Mirzapur, UP",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.14,11.9,11.9,11.9,11.9,11.9,11.9,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Moradabad, UP",119.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,135.71,137.22,137.22,145.38,147.98,140.29,140.54,22.8,25.41,25.86,18.73,16.14,9.54,9.7,6.68,2.57,2.24,1.21,1.59,1.83,1.54
"Muzaffarnagar, UP",26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.95,2.38,2.38,2.38,0.0,0.0,0.0,14.29,14.29,14.29,19.39,20.14,20.14,20.14,9.43,9.43,9.43,4.32,4.14,4.14
"Pilibhit, UP",3.0,,,,,,,,,,,,,,,,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,7.14,0.0
"Pratapgarh (Rajasthan), UP",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,2.38,2.38,2.38,6.46,6.46,8.05,7.1
"Allahabad, UP",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.05,20.83,20.83
"Rae Bareli, UP",43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.7,0.34,0.34,0.34,0.34,0.34,0.34
"Rampur, UP",25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,2.86,0.0,0.0,19.05,20.07,21.02,21.02,21.02,21.02,24.59,5.54,5.24,4.29,6.33,6.33,6.33,3.35,3.35,2.64
"Saharanpur, UP",204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,7.94,12.7,18.31,23.44,22.34,16.22,16.22,15.5,15.86,10.25,5.12,10.28,10.28,13.92,18.11,14.87,14.87,14.87,9.79,10.19,6.93,3.49,1.61,1.82
"Sambhal, UP",21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.38,4.42,2.04,9.18,10.37,10.37,11.47,15.55,13.51,14.31,7.16,7.48,7.48
"Sant Kabir Nagar, UP",27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,142.86,142.86,142.86,144.29,144.29,130.0,131.95,3.95,3.95,4.5
"Shahjahanpur, UP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shamli, UP",24.0,,,,,,,,,,,,,,,,,,,,28.57,42.86,50.0,57.94,61.0,61.0,61.0,32.43,18.14,11.0,3.06,4.2,4.2,4.2,4.2,4.85,4.85,4.85,0.65,0.65,0.65,1.27,0.62,0.62,0.62,0.62,0.62,0.62,0.0,0.0,0.0,0.0
"Shrawasti, UP",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.76,8.33,3.57,6.43
"Siddharthnagar, UP",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sitapur, UP",16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,6.43,2.86,4.05,4.05,7.34,7.34,7.34,4.49,4.49,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sonbhadra, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sultanpur, UP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0
"Unnao, UP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,21.43,21.43,21.43
"Varanasi, UP",63.0,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,14.29,14.29,21.43,27.14,27.14,27.14,31.22,31.22,31.22,9.8,4.08,4.08,4.08,0.0,0.0,3.17,7.07,7.07,7.07,8.09,10.95,10.95,13.33,9.43,15.72,15.72,19.86,17.87,20.07,14.52,14.52,8.95,8.95
"Almora, UT",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bageshwar, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chamoli, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champawat, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dehradun, UT",33.0,,,,,,,,28.57,33.33,33.33,33.33,4.76,4.76,8.33,11.19,6.43,6.43,6.43,6.43,20.71,17.14,17.86,19.76,19.76,20.6,20.6,6.32,6.32,2.75,0.84,0.84,0.0,0.0,1.59,1.59,3.02,4.31,4.31,4.31,4.91,3.32,3.32,3.61,2.31,3.84,3.84,3.24,3.24,4.17,2.45,2.45
"Hardwar, UT",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,28.57,38.1,9.52,9.52,9.52,15.24,15.24,15.24,5.71,5.71,5.71,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nainital, UT",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,4.76,0.0,0.0,0.0,0.0,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.59,1.59,1.59,1.59,1.59,1.59,1.59,0.0,0.0,0.0,0.0
"Pauri Garhwal, UT",1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pithoragarh, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rudraprayag, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tehri Garhwal, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Udham Singh Nagar, UT",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.76,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,9.29,9.29,9.29,11.33,11.33
"Uttarkashi, UT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alipurduar, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bankura, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birbhum, WB",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koch Bihar, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dakshin Dinajpur, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darjiling, WB",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.29,14.29,14.29,14.29,21.43,35.71,35.71
"Hugli, WB",41.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,21.43,26.19,26.19,26.19,33.33,33.33,19.05,16.67,13.69,13.69,15.28,9.56,47.23,47.58
"Haora, WB",257.0,,,,,,,,,,,,,,,,,,,,,,,,7.14,7.14,7.14,11.9,11.9,8.33,11.19,15.95,15.95,17.74,14.56,20.28,19.77,17.75,15.37,18.77,19.18,20.93,17.15,16.47,17.96,16.83,13.89,13.7,10.76,9.97,34.93,33.87
"Jalpaiguri, WB",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.86,42.86
"Jhargram, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalimpong, WB",7.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,42.86,42.86,46.43,46.43,49.29,49.29,6.43,8.81,8.81,5.24
"Kolkata, WB",682.0,,,,,,,,,,40.48,40.48,42.26,27.98,20.83,8.13,9.56,4.8,4.8,5.61,5.61,5.61,6.22,4.8,4.8,6.7,5.78,5.78,8.04,6.49,8.35,10.55,9.6,10.6,12.1,11.21,12.11,12.21,12.47,13.83,12.24,11.57,11.64,11.53,10.62,8.89,7.86,7.52,7.89,7.96,47.85,47.32
"Maldah, WB",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.29,14.29,14.29,14.29,14.29,14.29,21.43,7.14
"Paschim Medinipur, WB",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Murshidabad, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nadia, WB",7.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,5.71
"North Twenty Four Parganas, WB",135.0,,,,,,,,,,,,,,0.0,14.29,14.29,28.57,28.57,28.57,28.57,28.57,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Paschim Bardhaman, WB",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purba Bardhaman, WB",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purba Medinipur, WB",44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.19,33.33,35.71,21.43,25.51,21.54,22.84,19.27,13.23,14.93,16.51,16.0,12.83,11.53,12.05,12.49,8.86,12.63,9.06
"Puruliya, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Twenty Four Parganas, WB",22.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Uttar Dinajpur, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
